Annee_prod,Bassin_versant,Cap_tot_act,Cap_tot_init,Cote,Date,Latitude,Longitude,Nom_Ar,Nom_Fr,_id,apports,cumul_annee_prec,cumul_annuel_apports,cumul_annuel_lachers,cumul_mensuel_apports,cumul_mensuel_lachers,fonctionnel,id_barrage,lachers,moy_mois,moy_periode,stock,stock_annee_prec
1997,1900.0,88.0,88.0,541.0,2019-05-26T00:00:00,34.7468,8.74761,سيدي يعيــــش ,sidiach,26,0.0,0.246059,5.98988,0.6,0.0,0.0,1,23,0.0,0.262516,1.67457,4.4375,1.157
2002,293.0,16.0,16.0,849.0,2019-05-26T00:00:00,35.4705,8.96766,البــــــــرك,elbrek,27,0.000495675,1.38123,4.03074,0.0,0.0128875,0.0,1,24,0.0,0.0006324,1.67457,2.05,0.9
1959,86.0,5.01,6.5,54.62,2019-05-26T00:00:00,36.7159,10.6262,بزيـــــــغ,bezirk,28,0.0100315,0.0,19.6533,15.1156,0.0657254,0.0035,1,25,0.0,0.266449,4.89158,4.6404,1.7858
1963,64.0,5.045,7.8,77.88,2019-05-26T00:00:00,36.6923,10.7697,شيبـــــــة,chiba,29,0.0,1.16583,20.2926,16.283,0.0109874,0.637338,1,26,0.007337,0.191438,6.49007,3.53576,0.5596
1968,53.0,5.193,6.9,163.0,2019-05-26T00:00:00,36.534,10.4911,مصــــــري,masri,30,0.00941295,0.955868,4.58522,7.55479,0.0998614,0.285717,1,27,0.0172,0.285983,4.50133,5.11403,5.09828
1986,199.0,23.3053,30.1,18.04,2019-05-26T00:00:00,36.7388,10.9218,لبنــــــــة,lebna,31,0.0,4.12079,38.0682,17.5145,0.263768,0.374043,1,28,0.01019,0.13729,17.6993,19.3964,7.71626
2002,123.0,12.854,12.1,102.4,2019-05-26T00:00:00,36.5874,10.304,الحمـــــى,hma,32,0.00186341,0.214691,4.21531,0.417378,0.115669,0.22,1,29,0.0,0.0291232,4.38366,3.59999,1.08051
2002,54.0,9.615,10.0,42.2,2019-05-26T00:00:00,36.8308,10.7086,العبيـــــــد,abid,33,0.0022248,3.34322,11.6395,5.56318,0.0472776,0.290398,1,30,0.0,0.0146496,5.19325,8.56479,3.24225
1954,10300.0,51.13,267.67,265.0,2019-05-25T00:00:00,36.3144,8.70273,مـــــلاق ,mellegue,34,0.736618,22.128,208.084,191.031,2.88779,1.26708,1,1,0.051036,17.3775,148.272,38.059,18.0273
1954,103.0,60.393,61.63,436.5,2019-05-25T00:00:00,36.7471,8.74188,بنيمطيــر ,benmetir,35,0.962433,39.1938,50.0877,32.1606,1.87721,1.93422,1,2,0.06078,1.27743,42.3608,55.1234,52.3474
